,title,artist,top genre,year,added,bpm,Energy,Dance,dB,live,val,dur,acous,spch,pop
645,Ring Ring (with Rvssian feat. Clever),Juice WRLD,chicago rap,2019,2023‑04‑30,160,67,58,-4,40,62,172,8,5,67
646,Still Waiting,Sum 41,alternative metal,2002,2023‑04‑30,192,95,43,-5,27,56,159,0,26,67
647,To Be With You - 2010 Remastered Version,Mr. Big,glam metal,1991,2023‑04‑30,84,38,69,-10,13,45,210,29,5,67
648,Save Tonight,Eagle-Eye Cherry,pop rock,1998,2023‑04‑30,120,69,55,-9,11,58,239,0,4,67
649,Right Now (Na Na Na),Akon,dance pop,2008,2023‑04‑30,138,87,83,-4,41,57,241,27,17,67
650,I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,dance pop,2006,2023‑04‑30,108,92,71,-3,11,91,249,2,3,67
651,More Than I Can Say,GAMPER & DADONI,deep tropical house,2021,2023‑04‑30,128,81,53,-5,50,26,153,0,15,67
652,Gatluak - Bakermat Remix,Kronan,south sudanese pop,2021,2023‑04‑30,118,65,58,-7,30,26,139,8,6,67
653,Will You Love Me Tomorrow,The Shirelles,adult standards,1961,2023‑04‑30,136,31,53,-12,9,51,161,55,3,66
654,I Wish I Knew How It Would Feel to Be Free,Nina Simone,jazz blues,1967,2023‑04‑30,122,51,69,-9,12,67,189,75,8,66
655,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,pop dance,2020,2023‑04‑30,125,83,80,-5,12,60,157,2,19,66
656,One Day (Vandaag) - Radio Edit,Bakermat,minimal tech house,2014,2023‑04‑30,128,59,66,-6,38,57,219,72,3,66
657,Sweet Lovin' - Radio Edit,Sigala,dance pop,2018,2023‑04‑30,125,85,68,-3,34,71,202,21,7,66
658,Ugly Heart,G.R.L.,girl group,2014,2023‑04‑30,125,79,65,-5,32,45,198,2,5,66
659,I Wanna Know (feat. Bea Miller),NOTD,alt z,2018,2023‑04‑30,120,73,66,-5,12,61,198,3,6,66
660,No Brainer,DJ Khaled,hip hop,2018,2023‑04‑30,136,76,55,-5,9,64,260,7,34,66
661,Rich Love (with Seeb),OneRepublic,piano rock,2017,2023‑04‑30,105,87,40,-4,36,47,201,17,31,66
662,Heart of Courage,Thomas Bergersen,epicore,2010,2023‑04‑30,135,59,40,-8,11,19,117,51,5,66
663,Play That Song,Train,dance pop,2016,2023‑04‑30,99,83,39,-2,10,48,243,2,5,66
664,How Far I'll Go - Alessia Cara Version,Alessia Cara,canadian contemporary r&b,2016,2023‑04‑30,181,54,31,-10,7,15,176,16,35,66
665,Calabria 2007 (feat. Natasja) - Radio Edit,Enur,reggae fusion,2008,2023‑04‑30,126,56,89,-8,6,45,233,1,19,66
666,Tsunami,DVBBS,canadian electronic,2013,2023‑04‑30,128,84,70,-5,9,26,237,5,5,66
667,KIKA,6ix9ine,emo rap,2018,2023‑04‑30,95,72,75,-3,18,34,136,13,25,66
668,Ps & Qs,Lil Uzi Vert,melodic rap,2016,2023‑04‑30,130,43,52,-11,28,40,222,24,14,66
669,Too Many Years,Kodak Black,florida drill,2016,2023‑04‑30,147,70,66,-7,11,63,196,2,10,66
670,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,melodic rap,2017,2023‑04‑30,82,67,75,-5,17,76,269,68,6,66
671,Thinking out Loud,Ed Sheeran,pop,2013,2023‑04‑30,79,45,78,-6,18,59,282,47,3,66
672,Love Someone,Lukas Graham,danish pop,2018,2023‑04‑30,172,42,55,-7,11,27,205,16,5,66
673,All Of The Time,Jungle,indie soul,2021,2023‑04‑30,130,87,69,-6,96,88,182,4,4,66
674,Coco (feat. DaBaby),24kGoldn,cali rap,2021,2023‑04‑30,98,78,70,-4,15,53,142,16,9,66
675,Have You Ever Seen The Rain,Creedence Clearwater Revival,classic rock,1970,2023‑04‑30,116,47,74,-13,19,89,160,9,3,66
676,Mr. Crowley,Ozzy Osbourne,album rock,1980,2023‑04‑30,108,75,31,-7,37,35,303,21,6,66
677,I'll Be There,The Jackson 5,motown,1970,2023‑04‑30,93,52,51,-7,65,33,238,59,3,66
678,I Go Dancing (feat. Ella Henderson),Frank Walker,dance pop,2023,2023‑04‑30,110,80,57,-4,8,39,163,19,5,66
679,Walk on By,Dionne Warwick,adult standards,1964,2023‑04‑30,99,33,70,-9,14,52,178,72,3,65
680,Holding On,iann dior,melodic rap,2020,2023‑04‑30,95,76,71,-5,20,56,126,6,4,65
681,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,pop rap,2020,2023‑04‑30,148,52,76,-7,16,46,175,11,9,65
682,I'll Wait,Kygo,edm,2020,2023‑04‑30,123,65,61,-7,11,35,215,14,6,65
683,Forever Young,UNDRESSD,orebro indie,2019,2023‑04‑30,123,73,59,-7,24,57,202,4,3,65
684,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,indietronica,2018,2023‑04‑30,144,76,57,-5,39,49,183,10,6,65
685,Better Not (with Wafia),Louis The Child,edm,2018,2023‑04‑30,114,54,78,-3,23,39,223,28,8,65
686,And We Danced (feat. Ziggy Stardust),Macklemore,pop rap,2010,2023‑04‑30,125,68,76,-7,10,71,246,46,8,65
687,Your Song,Rita Ora,dance pop,2017,2023‑04‑30,118,62,86,-4,5,96,181,16,5,65
688,YOUTH,Troye Sivan,australian pop,2015,2023‑04‑30,92,74,63,-4,8,59,185,6,4,65
689,Secrets,Tiësto,big room,2015,2023‑04‑30,128,81,65,-8,9,12,251,0,4,65
690,Drop The World,Lil Wayne,hip hop,2009,2023‑04‑30,145,91,66,-2,24,34,229,7,32,65
691,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,hip hop,2017,2023‑04‑30,81,67,60,-4,13,82,289,5,4,65
692,Svag,Victor Leksell,swedish idol pop,2020,2023‑04‑30,154,53,60,-9,11,42,191,75,6,65
693,C'est La Vie,Khaled,classic arab pop,2012,2023‑04‑30,130,93,62,-4,36,81,226,3,5,65
694,Lean On Me,Sandro Cavazza,swedish pop,2020,2023‑04‑30,156,42,80,-8,20,72,182,41,17,65
695,The Flower Garden,Joe Hisaishi,anime,2004,2023‑04‑30,71,18,10,-18,11,9,179,94,4,65
696,Renaissance (The White Lotus) - Tiësto Remix,Tiësto,big room,2023,2023‑04‑30,128,78,56,-3,34,14,170,47,8,65
697,All My Love - Remaster,Led Zeppelin,album rock,1979,2023‑04‑30,91,79,55,-8,17,70,354,11,3,65
698,Dumb,Jubël,swedish pop,2021,2023‑04‑30,124,64,73,-6,52,43,193,19,4,65
699,You Send Me,Aretha Franklin,classic soul,1968,2023‑04‑30,103,30,51,-14,8,63,150,57,4,64
700,BLACKOUT,Turnstile,hardcore punk,2021,2023‑04‑30,84,81,30,-6,8,60,173,0,7,64
701,Woke up in Bangkok,Deepend,deep house,2018,2023‑04‑30,120,69,78,-6,17,38,169,20,4,64
702,Fade Away,Morgan Page,edm,2020,2023‑04‑30,123,70,69,-4,12,17,150,3,6,64
703,Move Your Body,Marshall Jefferson,acid house,2019,2023‑04‑30,125,80,79,-6,51,61,196,1,7,64
704,#3,Aphex Twin,ambient,1994,2023‑04‑30,147,7,16,-27,11,6,464,91,4,64
705,What I Like About You (feat. Theresa Rex),Jonas Blue,pop,2019,2023‑04‑30,102,80,46,-4,12,55,220,29,5,64
706,Trumpets,Jason Derulo,dance pop,2013,2023‑04‑30,82,69,64,-5,10,64,217,56,26,64
707,All Falls Down (feat. Juliander),Alan Walker,electro house,2017,2023‑04‑30,98,68,66,-4,36,66,199,30,6,64
708,Don't Let Me Down (feat. Daya) - Illenium Remix,The Chainsmokers,electropop,2016,2023‑04‑30,80,66,43,-4,15,36,219,8,8,64
709,Love Me Now,John Legend,neo soul,2016,2023‑04‑30,124,76,50,-4,8,71,210,59,9,64
710,Call on Me - Ryan Riback Remix,Starley,aussietronica,2016,2023‑04‑30,105,84,67,-4,16,72,222,6,4,64
711,Dreamer,Axwell /\ Ingrosso,edm,2017,2023‑04‑30,126,85,63,-5,21,61,251,2,4,64
712,Walk Like an Egyptian,The Bangles,album rock,2004,2023‑04‑30,103,89,72,-8,30,82,205,0,10,64
713,Narcotic - Dimitri Vegas vs Ummet Ozcan Remix,YouNotUs,german dance,2019,2023‑04‑30,128,87,59,-5,8,28,204,2,6,64
714,Baianá,Bakermat,minimal tech house,2020,2023‑04‑30,122,72,59,-7,54,47,181,0,7,64
715,Le temps est bon,Bon Entendeur,french indie pop,2019,2023‑04‑30,98,68,57,-6,38,58,203,24,8,64
716,With You,Drake,canadian hip hop,2016,2023‑04‑30,128,41,88,-10,11,78,195,13,25,64
717,twin flame,Machine Gun Kelly,ohio hip hop,2022,2023‑04‑30,140,27,40,-8,24,12,239,46,3,64
718,Turn Back Time,Daniel Schulz,scandipop,2017,2023‑04‑30,96,35,68,-7,26,22,224,23,3,64
719,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,pop rap,2012,2023‑04‑30,85,47,69,-9,10,30,319,72,17,64
720,In the Blood,John Mayer,neo mellow,2017,2023‑04‑30,80,66,55,-7,10,52,244,39,3,64
721,Up Up & Away,Kid Cudi,hip hop,2009,2023‑04‑30,120,88,66,-6,36,59,227,7,8,64
722,CIVIL WAR - Bonus,Russ,hawaiian hip hop,2019,2023‑04‑30,101,60,92,-7,11,50,145,10,26,64
723,Drew Barrymore,Bryce Vine,indie pop rap,2017,2023‑04‑30,152,57,76,-7,10,26,191,46,6,64
724,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",Antonín Dvořák,classical,1991,2023‑04‑30,0,8,0,-19,26,0,433,76,0,64
725,Gnossienne: No. 1,Erik Satie,classical,2009,2023‑04‑30,124,1,42,-28,10,8,214,100,5,64
726,Right Now,SR-71,pop punk,2000,2023‑04‑30,116,97,52,-3,32,73,167,0,4,64
727,Through the Fire and Flames,DragonForce,british power metal,2006,2023‑04‑30,200,95,11,-5,33,14,442,0,13,64
728,Just Another Girl,The Killers,alternative rock,2013,2023‑04‑30,137,78,55,-5,14,16,262,0,3,64
729,Where Is My Mind,Maxence Cyrin,compositional ambient,2010,2023‑04‑30,142,11,33,-21,12,6,165,91,5,64
730,You're All I Need To Get By,Marvin Gaye,classic soul,1968,2023‑04‑30,98,45,51,-11,7,17,174,14,3,63
731,Subterranean Homesick Alien,Radiohead,alternative rock,1997,2023‑04‑30,151,60,31,-9,10,34,268,5,3,63
732,King,Years & Years,gauze pop,2015,2023‑04‑30,120,86,56,-4,38,43,215,6,4,63
733,Grace Kelly,MIKA,,2007,2023‑04‑30,122,82,67,-6,36,69,188,2,5,63
734,Josslyn,Olivia O'Brien,alt z,2020,2023‑04‑30,85,74,43,-6,71,34,189,1,15,63
735,Freedom,Kygo,edm,2020,2023‑04‑30,113,64,72,-7,9,39,199,13,8,63
736,Bored To Death,blink-182,alternative metal,2016,2023‑04‑30,160,97,50,-4,12,64,236,1,9,63
737,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,2023‑04‑30,95,79,75,-6,7,61,206,21,12,63
738,Earth,Lil Dicky,comedy rap,2019,2023‑04‑30,96,66,69,-5,9,68,282,64,5,63
739,Remind Me to Forget,Kygo,edm,2017,2023‑04‑30,99,51,69,-6,14,31,217,16,9,63
740,I Just Had Sex,The Lonely Island,comedy rap,2011,2023‑04‑30,168,81,62,-4,20,81,167,2,14,63
741,Sweaters,Ivan B,indie pop rap,2016,2023‑04‑30,175,78,42,-4,23,38,147,1,7,63
742,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,2016,2023‑04‑30,100,61,78,-6,10,42,214,34,7,63
743,Wasted,Tiësto,big room,2014,2023‑04‑30,112,82,64,-6,20,39,190,0,3,63
744,Moving on Up,M People,diva house,1998,2023‑04‑30,125,86,90,-6,11,96,216,5,4,63
745,On The Radio,Donna Summer,adult standards,1979,2023‑04‑30,127,45,73,-14,30,60,242,11,4,63
746,Gloria,Laura Branigan,new romantic,1995,2023‑04‑30,131,87,78,-4,15,88,295,14,3,63
747,You Make Me Feel (Mighty Real),Sylvester,disco,1978,2023‑04‑30,131,85,63,-11,9,96,400,3,3,63
748,Karma Chameleon,Culture Club,album rock,1993,2023‑04‑30,92,58,68,-12,15,93,242,19,4,63
749,Leave Me Alone,Flipp Dinero,melodic rap,2018,2023‑04‑30,150,74,79,-3,18,74,196,11,9,63
750,Playinwitme (feat. Kehlani),KYLE,deep underground hip hop,2018,2023‑04‑30,157,58,69,-6,30,68,192,34,12,63
751,nothing inside (feat. iann dior),Machine Gun Kelly,ohio hip hop,2020,2023‑04‑30,88,81,56,-5,16,51,172,0,5,63
752,Hero,Enrique Iglesias,dance pop,2001,2023‑04‑30,152,65,58,-6,11,15,265,14,4,63
753,"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",Joseph Williams,movie tunes,1994,2023‑04‑30,78,13,31,-19,57,47,178,79,5,63
754,Barn av vår tid,Hov1,fotbollslatar,2021,2023‑04‑30,180,63,53,-6,9,85,235,66,39,63
755,He Llorado (Como Un Niño),Juan Magán,electro latino,2015,2023‑04‑30,116,90,69,-2,10,79,219,20,4,63
756,For A Minute,WizTheMc,canadian contemporary r&b,2020,2023‑04‑30,160,78,71,-6,10,83,109,3,9,63
757,La La Land (feat. YG),Bryce Vine,indie pop rap,2019,2023‑04‑30,98,47,77,-5,22,42,177,22,6,63
758,Stacy,Quinn XCII,indie pop rap,2019,2023‑04‑30,105,56,74,-7,10,51,169,9,4,63
759,This Ain't A Love Song,Bon Jovi,glam metal,1995,2023‑04‑30,88,64,35,-7,13,14,306,9,4,63
760,Cowboys Don’t Cry,Oliver Tree,alternative hip hop,2022,2023‑04‑30,88,64,61,-7,32,46,190,22,6,63
761,Aloha Hey,HBz,melbourne bounce international,2021,2023‑04‑30,128,68,68,-8,45,59,155,1,16,63
762,HOLIDAY,Turnstile,hardcore punk,2021,2023‑04‑30,155,86,54,-8,7,32,172,0,4,62
763,Airbag,Radiohead,alternative rock,1997,2023‑04‑30,168,87,31,-7,26,65,288,1,5,62
764,Bad Reputation (feat. Joe Janiak),Avicii,edm,2019,2023‑04‑30,90,64,75,-6,10,45,205,66,5,62
765,Tender love,Mounika.,chillhop,2020,2023‑04‑30,81,37,63,-13,12,28,204,53,4,62
766,It Don’t Matter - Spotify Singles,Alok,electro house,2021,2023‑04‑30,118,86,73,-6,37,57,174,16,4,62
767,Original Sin,Sofi Tukker,edm,2022,2023‑04‑30,124,73,78,-9,32,46,172,17,5,62
768,Headlights (feat. Ilsey),Robin Schulz,deep euro house,2015,2023‑04‑30,122,69,60,-6,18,37,209,2,4,62
769,Faded,ZHU,edm,2014,2023‑04‑30,125,48,87,-7,11,61,223,1,5,62
770,Hard To Explain,The Strokes,alternative rock,2001,2023‑04‑30,83,67,41,-6,9,67,224,0,6,62
771,Start Again (feat. Logic),OneRepublic,piano rock,2018,2023‑04‑30,99,72,56,-6,9,28,166,16,12,62
772,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,dutch house,2018,2023‑04‑30,110,77,73,-6,23,52,164,15,6,62
773,Marmalade (feat. Lil Yachty),Macklemore,pop rap,2017,2023‑04‑30,136,58,92,-5,10,49,262,1,8,62
774,Straightjacket,Quinn XCII,indie pop rap,2017,2023‑04‑30,137,55,84,-7,7,75,207,15,30,62
775,Solo Dance,Martin Jensen,danish electronic,2016,2023‑04‑30,115,85,75,-2,20,40,175,5,5,62
776,September,"Earth, Wind & Fire",disco,2014,2023‑04‑30,126,83,69,-7,25,98,215,17,3,62
777,I Love to Love,Tina Charles,disco,1997,2023‑04‑30,99,70,68,-9,51,96,184,14,3,62
778,L'amour toujours (feat. Delaney Jane) - Tiësto Edit,Dzeko & Torres,dutch house,2015,2023‑04‑30,130,93,59,-3,15,17,162,1,10,62
779,The Passenger (LaLaLa) [feat. MOKABY],LUM!X,melbourne bounce international,2020,2023‑04‑30,125,77,67,-6,21,69,159,6,14,62
780,Animals - Extended,Martin Garrix,dutch edm,2013,2023‑04‑30,128,87,68,-6,41,4,304,0,4,62
781,Greatest,Eminem,detroit hip hop,2018,2023‑04‑30,80,74,81,-5,34,37,227,4,11,62
782,New Level (feat. Future),A$AP Ferg,hip hop,2015,2023‑04‑30,121,66,53,-4,12,16,267,6,33,62
783,"Work Hard, Play Hard",Wiz Khalifa,hip hop,2012,2023‑04‑30,140,67,79,-4,30,49,219,4,5,62
784,Elevate,Drake,canadian hip hop,2018,2023‑04‑30,76,47,76,-9,12,5,185,2,15,62
785,Fingrarna i halsen,Bolaget,,2020,2023‑04‑30,145,52,67,-9,22,54,180,16,9,62
786,När jag ser dig,Hov1,fotbollslatar,2020,2023‑04‑30,99,56,65,-7,19,54,228,59,4,62
787,Sunnanvind,Mares,swedish idol pop,2019,2023‑04‑30,104,70,72,-7,39,36,202,2,3,62
788,Hornstullsstrand,Hov1,fotbollslatar,2019,2023‑04‑30,142,65,53,-6,31,55,238,47,11,62
789,La La Land,Bryce Vine,indie pop rap,2019,2023‑04‑30,98,51,73,-5,23,52,157,29,4,62
790,Panini,Lil Nas X,lgbtq+ hip hop,2019,2023‑04‑30,154,59,70,-6,12,48,115,34,8,62
791,Soundtrack 2 My Life,Kid Cudi,hip hop,2009,2023‑04‑30,87,75,46,-7,37,44,236,47,13,62
792,Another Day in Paradise,Quinn XCII,indie pop rap,2015,2023‑04‑30,168,80,65,-5,14,56,255,16,7,62
793,"Rêverie, L. 68",Claude Debussy,classical,2007,2023‑04‑30,63,1,25,-32,8,8,233,100,4,62
794,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,classical,2002,2023‑04‑30,108,18,32,-18,8,36,194,98,3,62
795,The French Library,Franz Gordon,background music,2020,2023‑04‑30,65,3,43,-25,11,4,180,99,5,62
796,The First Cut Is the Deepest,Rod Stewart,mellow gold,1976,2023‑04‑30,81,63,55,-9,10,76,271,32,2,62
797,Madan (King),Bakermat,minimal tech house,2022,2023‑04‑30,126,61,69,-7,16,75,60,0,4,62
798,MYSTERY,Turnstile,hardcore punk,2021,2023‑04‑30,164,89,40,-6,88,19,155,0,9,61
799,Lucky,Radiohead,alternative rock,1997,2023‑04‑30,133,40,21,-10,11,20,259,5,3,61
800,Don't You Know - Radio Edit,Kungs,edm,2016,2023‑04‑30,120,74,74,-5,12,61,185,7,6,61
801,Hey Maria - Elderbrook Remix,Klangkarussell,austrian pop,2016,2023‑04‑30,118,33,85,-11,11,35,213,21,5,61
802,Rollercoaster,Jonas Brothers,boy band,2019,2023‑04‑30,124,58,70,-8,39,47,182,6,5,61
803,Wish You Well,Sigala,dance pop,2019,2023‑04‑30,125,90,67,-4,30,58,206,13,6,61
804,Is This It,The Strokes,alternative rock,2001,2023‑04‑30,96,69,67,-8,35,85,151,15,3,61
805,I Like It Like That (feat. New Boyz),Hot Chelle Rae,dance rock,2011,2023‑04‑30,101,78,74,-5,35,65,188,3,6,61
806,Forever Yours - Avicii Tribute,Kygo,edm,2020,2023‑04‑30,119,61,53,-9,25,43,194,25,5,61
807,Fade Into Darkness - Vocal Radio Mix,Avicii,edm,2011,2023‑04‑30,126,89,56,-4,14,77,198,1,3,61
808,Your Soul,Hippie Sabotage,edm,2014,2023‑04‑30,94,68,49,-8,14,8,325,0,4,61
809,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,soft rock,2004,2023‑04‑30,109,78,70,-8,6,39,289,9,5,61
810,Rattle,Bingo Players,big room,2012,2023‑04‑30,128,96,74,-5,35,53,287,0,5,61
811,Can't Be Broken,Lil Wayne,hip hop,2018,2023‑04‑30,99,58,58,-6,9,15,193,13,20,61
812,Dedicate,Lil Wayne,hip hop,2018,2023‑04‑30,118,66,88,-6,72,72,190,3,31,61
813,Survival,Drake,canadian hip hop,2018,2023‑04‑30,77,60,56,-9,12,14,136,13,38,61
814,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",PnB Rock,melodic rap,2017,2023‑04‑30,150,66,70,-4,34,50,249,5,5,61
815,All the Above (feat. T-Pain),Maino,dance pop,2009,2023‑04‑30,149,89,37,-3,20,37,320,8,12,61
816,Hallelujah,Pentatonix,a cappella,2017,2023‑04‑30,90,38,36,-7,34,37,269,47,3,61
817,Oceans Away,A R I Z O N A,electropop,2017,2023‑04‑30,106,64,62,-9,9,22,194,13,3,61
818,Headlights,Eminem,detroit hip hop,2013,2023‑04‑30,146,78,69,-4,80,45,343,15,16,61
819,Seasons (feat. Khalid),6LACK,atl hip hop,2018,2023‑04‑30,142,32,60,-10,14,51,250,69,29,61
820,Good Nights (feat. Mascolo),Whethan,electropop,2017,2023‑04‑30,101,48,85,-7,8,28,166,44,29,61
821,Flare Guns,Quinn XCII,indie pop rap,2017,2023‑04‑30,93,47,81,-7,28,46,240,26,6,61
822,Getting Along,Royal Republic,swedish alternative rock,2016,2023‑04‑30,94,97,53,-4,36,47,137,0,11,61
823,The Hell Song,Sum 41,alternative metal,2002,2023‑04‑30,173,94,36,-6,35,66,198,0,8,61
824,"Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse",Pyotr Ilyich Tchaikovsky,classical,2019,2023‑04‑30,108,6,25,-26,7,4,142,95,5,61
825,Climbing Up the Walls,Radiohead,alternative rock,1997,2023‑04‑30,78,66,24,-7,20,22,285,10,4,60
826,I Remember,Cheat Codes,edm,2023,2023‑04‑30,100,74,50,-4,23,59,168,3,11,60
827,Roygbiv,Boards of Canada,electronica,1998,2023‑04‑30,84,62,66,-8,14,17,149,2,6,60
828,Bones (feat. OneRepublic),Galantis,dance pop,2019,2023‑04‑30,120,80,66,-6,18,51,206,0,4,60
829,STFU,mansionz,indie pop rap,2017,2023‑04‑30,135,47,82,-7,22,51,231,19,19,60
830,No Promises (feat. Demi Lovato),Cheat Codes,edm,2017,2023‑04‑30,113,62,74,-7,11,58,223,6,16,60
831,Whatcha Say,Jason Derulo,dance pop,2010,2023‑04‑30,144,71,62,-6,14,71,221,4,8,60
832,Lot to Learn,Luke Christopher,indie pop rap,2015,2023‑04‑30,82,85,41,-4,7,60,248,9,20,60
833,Ain't My Fault - R3hab Remix,Zara Larsson,pop,2016,2023‑04‑30,150,85,67,-4,22,61,159,2,4,60
834,All For Love,Tungevaag,big room,2018,2023‑04‑30,125,90,69,-1,46,65,180,14,7,60
835,"Shout, Pts. 1 & 2",The Isley Brothers,classic soul,1959,2023‑04‑30,139,87,49,-7,88,42,269,75,9,60
836,Live The Night,W&W,big room,2016,2023‑04‑30,128,97,81,-4,37,21,133,1,23,60
837,Wait Another Day,Mike Williams,big room,2018,2023‑04‑30,126,91,73,-4,12,67,179,3,4,60
838,Fuego,Alok,electro house,2017,2023‑04‑30,122,64,72,-8,11,33,189,14,4,60
839,Tremor - Sensation 2014 Anthem,Dimitri Vegas & Like Mike,belgian dance,2014,2023‑04‑30,128,94,63,-4,96,45,294,0,4,60
840,Toi Et Moi,Paradis,electro-pop francais,2016,2023‑04‑30,113,76,70,-7,11,61,221,0,6,60
841,MegaMan,Lil Wayne,hip hop,2011,2023‑04‑30,102,86,50,-5,26,34,198,1,29,60
842,Burberry Headband,Lil Mosey,melodic rap,2018,2023‑04‑30,151,65,71,-7,9,67,146,60,4,60
843,Moves,Big Sean,detroit hip hop,2017,2023‑04‑30,76,52,81,-5,15,38,143,4,26,60
844,I Love College,Asher Roth,indie pop rap,2009,2023‑04‑30,86,83,71,-4,42,66,242,9,24,60
845,Addicted to My Ex,M City JR,viral trap,2016,2023‑04‑30,140,50,83,-7,28,5,223,9,7,60
846,Welcome to My Life,Simple Plan,canadian pop punk,2004,2023‑04‑30,173,86,42,-5,7,49,207,1,10,60
847,Moonlight,Ariana Grande,pop,2016,2023‑04‑30,102,41,63,-7,5,21,202,42,3,60
848,Brände hela lönen,Bolaget,fotbollslatar,2021,2023‑04‑30,132,54,60,-11,20,65,165,4,4,60
849,Stay Away (feat. Machine Gun Kelly & Goody Grace),MOD SUN,indie pop rap,2020,2023‑04‑30,158,64,67,-6,9,15,152,2,8,60
850,5 Shots,gianni & kyle,indie pop rap,2018,2023‑04‑30,92,45,92,-6,6,45,182,14,7,60
851,Selfish (feat. Rihanna),Future,atl hip hop,2017,2023‑04‑30,96,37,42,-10,38,9,251,3,7,60
852,The Swan,Camille Saint-Saëns,classical,2002,2023‑04‑30,123,15,22,-18,9,12,174,99,4,60
853,Love Hurts,Nazareth,album rock,1975,2023‑04‑30,80,33,49,-12,33,14,233,1,3,60
854,Orange Blood,Mt. Joy,pov: indie,2022,2023‑04‑30,119,53,71,-10,13,50,226,66,4,60
855,Congratulations,MGMT,alternative rock,2010,2023‑04‑30,125,64,76,-8,10,66,235,44,3,60
856,La solassitude,Stromae,belgian pop,2022,2023‑04‑30,107,54,57,-10,18,63,182,65,42,60
857,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",Franz Schubert,classical,2019,2023‑04‑30,67,0,21,-34,10,4,442,99,5,60
858,"Prélude in E minor, Op. 28, No. 4",Frédéric Chopin,classical,1995,2023‑04‑30,63,0,39,-33,6,4,147,100,5,60
859,Too Late To Turn Back Now,Cornelius Brothers & Sister Rose,classic soul,1996,2023‑04‑30,115,73,52,-7,43,91,199,34,5,59
860,I Got Lucky,Elvis Presley,rock-and-roll,1971,2023‑04‑30,93,39,73,-12,20,96,116,84,4,59
861,UNDERWATER BOI,Turnstile,hardcore punk,2021,2023‑04‑30,131,88,70,-6,8,30,185,3,5,59
862,The Sun - Klingande Remix Radio Edit,Parov Stelar,balkan beats,2015,2023‑04‑30,125,76,61,-7,15,46,210,9,31,59
863,Alien,Dennis Lloyd,israeli pop,2020,2023‑04‑30,118,77,71,-5,8,42,139,1,5,59
864,Tear Me Down (feat. Philip Rustad),Davai,norwegian pop,2019,2023‑04‑30,100,82,72,-4,10,70,185,26,11,59
865,Are You With Me - Radio Edit,Lost Frequencies,belgian edm,2016,2023‑04‑30,121,61,76,-8,12,39,138,28,4,59
866,An Ending (Ascent) - Remastered 2005,Brian Eno,abstract,1983,2023‑04‑30,67,9,26,-25,8,5,266,93,7,59
867,Think About You,Kygo,edm,2019,2023‑04‑30,124,60,67,-8,11,19,209,17,4,59
868,Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,belgian dance,2017,2023‑04‑30,90,82,68,-3,16,50,184,19,3,59
869,All You Need To Know (feat. Calle Lehmann),Gryffin,edm,2019,2023‑04‑30,140,73,53,-6,10,22,238,1,4,59
870,When We Were Young,Lost Kings,pop dance,2018,2023‑04‑30,130,79,55,-6,10,35,194,1,4,59
871,GET UP,Shinedown,alternative metal,2018,2023‑04‑30,75,94,55,-4,12,38,246,2,6,59
872,I Don't Know My Name,Grace VanderWaal,post-teen pop,2016,2023‑04‑30,141,22,55,-8,11,46,149,78,4,59
873,OK,Robin Schulz,deep euro house,2017,2023‑04‑30,122,81,65,-6,13,58,189,12,6,59
874,Shots - Broiler Remix,Imagine Dragons,modern rock,2015,2023‑04‑30,120,78,73,-7,11,61,191,41,3,59
875,Take Me Home (feat. Bebe Rexha),Cash Cash,dance pop,2016,2023‑04‑30,128,90,57,-2,19,48,206,6,21,59
876,Heaven Is A Place On Earth,Belinda Carlisle,new romantic,1987,2023‑04‑30,123,81,64,-10,5,80,247,3,3,59
877,Bones - twocolors Remix,Imagine Dragons,modern rock,2022,2023‑04‑30,124,76,68,-7,53,48,256,2,6,59
878,Mayhem,Steve Aoki,edm,2018,2023‑04‑30,128,96,60,-5,86,8,157,0,3,59
879,MAMA,6ix9ine,emo rap,2018,2023‑04‑30,160,67,76,-6,14,44,192,9,22,59
880,All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,chicago rap,2016,2023‑04‑30,132,54,53,-9,8,40,204,31,46,59
